propension_12m,sexo,edad,d2_01,d2_03,d2_04,d2_05,d2_06,d2_07
0,1,25,9,6,0,7.0,1.0,1.0
1,2,25,9,6,0,6.0,1.0,2.0
0,1,25,9,3,0,5.0,1.0,1.0
0,1,40,9,6,0,7.0,1.0,1.0
0,1,24,9,6,0,7.0,2.0,1.0
0,1,50,9,2,0,5.0,1.0,1.0
0,2,29,9,6,0,7.0,1.0,2.0
0,2,25,9,2,2,5.0,1.0,2.0
0,1,36,9,6,0,4.0,1.0,1.0
1,1,25,9,5,0,7.0,1.0,1.0
0,2,31,9,3,0,8.0,1.0,2.0
0,1,58,9,3,5,5.0,1.0,1.0
1,1,37,9,5,0,6.0,1.0,1.0
0,1,34,9,6,0,8.0,1.0,1.0
0,2,48,9,2,2,7.0,1.0,2.0
0,2,19,9,1,0,4.0,1.0,2.0
0,1,47,9,6,0,8.0,1.0,1.0
0,1,27,9,6,0,6.0,1.0,1.0
0,1,47,9,5,1,3.0,1.0,1.0
0,1,30,9,2,1,4.0,1.0,1.0
1,2,29,9,6,0,8.0,3.0,2.0
0,2,21,2,6,0,6.0,1.0,2.0
1,1,33,9,2,1,6.0,1.0,1.0
0,2,57,9,2,2,6.0,1.0,2.0
1,1,28,9,1,0,7.0,1.0,1.0
0,2,29,9,6,1,5.0,1.0,2.0
1,2,34,9,3,1,6.0,1.0,2.0
1,1,18,9,6,0,5.0,1.0,1.0
0,1,19,9,6,0,7.0,1.0,1.0
0,1,45,9,3,0,7.0,1.0,1.0
0,1,21,9,6,0,7.0,1.0,1.0
1,2,35,9,6,0,7.0,1.0,2.0
1,1,36,9,2,2,4.0,1.0,1.0
0,2,31,9,2,1,7.0,1.0,2.0
1,1,27,9,6,0,6.0,1.0,1.0
0,2,61,9,2,4,3.0,1.0,2.0
0,1,52,9,5,1,3.0,1.0,1.0
1,1,18,9,1,0,5.0,1.0,1.0
0,1,21,9,6,0,5.0,2.0,2.0
1,1,37,9,6,0,4.0,2.0,2.0
1,1,20,9,6,0,7.0,1.0,1.0
1,1,27,9,3,0,7.0,1.0,1.0
0,1,22,9,6,0,7.0,1.0,1.0
1,2,40,9,6,0,8.0,4.0,2.0
0,2,52,9,6,2,6.0,1.0,2.0
0,1,40,9,3,2,6.0,1.0,1.0
1,2,29,9,6,1,5.0,1.0,2.0
0,1,63,9,4,4,3.0,1.0,1.0
0,2,25,9,1,0,7.0,1.0,2.0
1,2,25,9,2,0,6.0,1.0,2.0
1,1,27,9,2,1,4.0,1.0,1.0
1,1,32,9,6,1,6.0,1.0,1.0
0,1,55,9,2,2,3.0,1.0,1.0
0,1,36,9,6,0,3.0,1.0,1.0
0,1,25,9,6,0,6.0,1.0,1.0
0,2,19,9,1,0,4.0,1.0,2.0
1,1,42,9,6,0,3.0,1.0,1.0
0,1,50,9,3,1,7.0,1.0,1.0
1,1,26,9,6,0,7.0,1.0,1.0
0,1,28,9,6,0,8.0,1.0,1.0
1,2,27,9,6,0,7.0,1.0,2.0
1,1,31,1,5,0,6.0,1.0,1.0
1,1,24,9,6,0,7.0,3.0,1.0
0,1,32,9,1,0,5.0,1.0,1.0
0,1,62,9,2,1,3.0,1.0,1.0
0,1,24,9,2,0,3.0,1.0,1.0
0,2,30,9,6,0,8.0,1.0,2.0
0,1,31,9,6,0,4.0,1.0,1.0
1,2,27,9,6,0,7.0,4.0,2.0
1,1,18,9,6,1,4.0,1.0,1.0
1,1,21,9,6,0,6.0,1.0,1.0
1,1,26,9,6,0,6.0,1.0,1.0
1,1,19,9,6,0,4.0,1.0,1.0
1,1,34,9,6,0,7.0,1.0,1.0
0,1,23,9,6,0,6.0,1.0,1.0
0,1,39,9,6,1,3.0,1.0,1.0
0,1,26,9,6,1,6.0,1.0,1.0
0,2,38,9,2,1,5.0,1.0,2.0
0,2,21,9,6,0,6.0,1.0,2.0
0,2,34,9,6,1,6.0,1.0,2.0
1,1,33,9,6,0,3.0,1.0,1.0
0,1,30,9,3,1,7.0,1.0,1.0
1,1,32,9,6,0,7.0,1.0,1.0
0,2,30,9,2,4,3.0,1.0,2.0
1,2,24,9,6,0,7.0,4.0,3.0
1,1,34,9,6,0,8.0,1.0,1.0
0,1,40,9,5,1,6.0,1.0,1.0
1,1,30,9,3,0,8.0,1.0,1.0
0,2,55,9,3,3,3.0,1.0,2.0
0,1,39,9,3,0,5.0,1.0,1.0
0,2,43,9,2,2,7.0,1.0,2.0
1,1,19,9,1,1,4.0,1.0,1.0
1,1,21,9,6,0,6.0,1.0,2.0
0,1,43,9,2,2,7.0,1.0,1.0
0,2,28,9,2,0,7.0,1.0,2.0
1,2,23,9,6,0,7.0,1.0,2.0
0,1,35,9,6,0,5.0,1.0,1.0
1,1,55,9,2,0,6.0,1.0,2.0
1,2,49,9,2,2,7.0,1.0,2.0
1,2,19,9,6,0,6.0,3.0,2.0
1,1,23,9,6,0,7.0,1.0,1.0
1,1,27,9,3,0,5.0,1.0,1.0
0,2,56,9,4,2,7.0,1.0,2.0
1,1,22,9,6,0,7.0,1.0,1.0
1,2,22,1,6,0,7.0,1.0,2.0
0,2,47,9,5,1,8.0,1.0,2.0
0,2,35,9,3,0,7.0,1.0,2.0
0,1,38,9,6,0,7.0,1.0,1.0
0,1,31,9,6,0,7.0,1.0,1.0
0,1,28,1,5,0,5.0,1.0,1.0
1,2,21,9,6,0,7.0,1.0,2.0
0,1,49,9,6,0,5.0,1.0,1.0
0,1,39,9,6,0,7.0,1.0,1.0
1,1,20,9,6,0,5.0,1.0,1.0
0,1,30,9,3,1,5.0,1.0,1.0
0,2,45,9,1,0,7.0,1.0,2.0
1,2,35,9,2,2,5.0,1.0,2.0
0,1,18,9,6,0,5.0,1.0,1.0
1,2,25,9,3,1,5.0,1.0,2.0
0,1,21,9,6,0,5.0,1.0,1.0
1,1,27,9,6,0,7.0,1.0,1.0
0,1,37,9,3,2,6.0,1.0,1.0
0,2,31,9,6,2,5.0,1.0,2.0
1,1,25,9,1,1,6.0,1.0,1.0
1,1,24,9,2,2,5.0,1.0,1.0
0,2,36,9,3,1,7.0,1.0,2.0
1,2,65,9,6,3,6.0,1.0,2.0
0,1,18,9,6,0,7.0,2.0,1.0
1,2,27,9,1,0,7.0,1.0,2.0
1,2,29,9,6,0,7.0,1.0,2.0
1,2,25,9,6,1,7.0,1.0,2.0
0,1,52,9,5,4,6.0,1.0,1.0
0,1,27,9,6,0,7.0,1.0,1.0
0,1,46,9,3,2,5.0,1.0,1.0
1,2,18,9,2,0,4.0,1.0,2.0
0,1,36,9,3,2,8.0,1.0,1.0
0,1,23,9,6,0,7.0,1.0,1.0
0,2,22,9,3,1,6.0,1.0,2.0
0,1,24,9,6,0,4.0,1.0,1.0
0,1,49,9,5,4,3.0,1.0,1.0
1,1,24,9,6,0,4.0,1.0,1.0
1,1,18,9,6,0,7.0,1.0,1.0
0,2,42,9,6,0,7.0,1.0,2.0
0,2,53,9,6,2,4.0,1.0,2.0
0,2,63,9,6,2,3.0,1.0,2.0
1,1,24,9,6,2,5.0,1.0,1.0
0,1,56,1,2,1,5.0,1.0,1.0
0,1,34,9,2,2,6.0,1.0,1.0
0,1,25,9,6,0,5.0,1.0,1.0
0,2,46,9,3,2,6.0,1.0,2.0
0,1,28,9,6,0,7.0,1.0,1.0
0,2,23,9,6,0,7.0,1.0,2.0
0,1,25,9,2,2,5.0,1.0,1.0
0,2,65,9,4,1,7.0,1.0,2.0
0,2,56,9,3,3,6.0,1.0,2.0
1,1,62,9,3,6,5.0,1.0,1.0
1,1,57,9,6,1,5.0,1.0,1.0
0,1,60,9,6,0,4.0,1.0,1.0
1,1,28,9,5,0,7.0,1.0,1.0
0,1,65,9,4,2,5.0,1.0,1.0
1,2,19,9,6,0,6.0,1.0,2.0
1,1,18,9,6,0,7.0,1.0,1.0
1,1,39,9,6,0,7.0,1.0,1.0
0,2,31,9,3,2,5.0,1.0,2.0
0,1,58,9,3,3,5.0,1.0,1.0
1,1,19,9,3,0,4.0,2.0,1.0
0,1,42,9,6,0,4.0,1.0,1.0
1,1,25,9,6,0,7.0,1.0,1.0
1,1,21,9,6,0,6.0,1.0,1.0
1,1,37,9,2,2,5.0,1.0,1.0
0,1,40,9,6,0,3.0,1.0,1.0
0,2,54,9,3,1,7.0,1.0,2.0
0,2,40,9,2,2,6.0,1.0,2.0
0,1,65,9,2,2,3.0,1.0,1.0
0,2,19,9,6,0,7.0,1.0,2.0
0,1,25,9,3,0,5.0,1.0,1.0
0,1,30,9,6,0,7.0,1.0,1.0
1,1,24,9,6,0,5.0,1.0,1.0
0,1,24,9,6,0,7.0,1.0,1.0
1,1,34,9,6,1,5.0,1.0,1.0
1,1,20,9,5,0,5.0,1.0,1.0
0,1,38,9,5,0,3.0,1.0,1.0
1,1,25,9,6,0,7.0,1.0,1.0
1,1,25,9,2,0,7.0,1.0,1.0
0,1,43,9,5,2,5.0,1.0,1.0
0,1,55,9,3,1,5.0,1.0,1.0
0,1,20,9,6,0,7.0,1.0,1.0
1,1,30,9,2,1,5.0,1.0,1.0
0,1,18,9,6,0,5.0,1.0,1.0
1,1,40,9,1,0,8.0,1.0,1.0
1,2,31,9,2,3,5.0,1.0,2.0
0,1,62,9,3,3,3.0,1.0,1.0
0,1,24,9,2,2,5.0,1.0,1.0
0,1,21,9,6,0,5.0,1.0,1.0
1,1,54,9,3,1,7.0,1.0,1.0
0,1,47,9,5,1,7.0,1.0,1.0
1,1,24,9,6,0,7.0,1.0,1.0
0,1,60,9,5,1,4.0,1.0,1.0
0,1,27,9,1,2,5.0,1.0,1.0
1,1,19,9,6,0,6.0,1.0,1.0
1,1,24,9,6,0,7.0,1.0,1.0
0,1,42,9,3,1,5.0,1.0,1.0
0,2,35,9,6,1,5.0,1.0,2.0
1,1,30,9,5,3,6.0,1.0,1.0
1,1,27,9,5,2,4.0,1.0,1.0
1,2,40,9,6,0,8.0,1.0,2.0
0,1,31,9,3,1,7.0,1.0,1.0
1,2,22,9,6,2,6.0,1.0,2.0
1,1,34,9,2,1,4.0,1.0,1.0
0,2,58,9,4,3,5.0,1.0,2.0
0,1,28,9,3,0,5.0,1.0,1.0
1,1,23,9,6,0,8.0,1.0,1.0
0,1,40,9,3,0,8.0,1.0,1.0
0,1,57,9,2,2,7.0,1.0,1.0
1,1,28,9,1,1,6.0,1.0,1.0
0,1,32,9,2,0,3.0,1.0,1.0
0,1,23,9,1,0,5.0,1.0,1.0
0,2,30,9,2,3,3.0,1.0,2.0
1,1,25,9,6,0,7.0,1.0,1.0
0,1,28,9,3,0,8.0,1.0,1.0
1,2,21,5,6,0,7.0,1.0,2.0
0,1,53,9,3,2,7.0,1.0,1.0
1,1,18,9,6,0,5.0,1.0,1.0
1,1,39,9,6,1,6.0,1.0,1.0
0,2,21,9,2,0,5.0,1.0,2.0
1,1,31,9,5,1,5.0,1.0,1.0
0,2,42,9,2,2,5.0,1.0,2.0
0,1,20,9,6,1,5.0,1.0,2.0
1,1,35,9,6,0,6.0,1.0,1.0
1,1,54,2,6,0,8.0,3.0,1.0
0,1,52,9,5,0,3.0,1.0,1.0
1,2,25,9,3,0,7.0,1.0,2.0
0,1,19,9,6,0,5.0,1.0,1.0
0,2,24,9,6,0,7.0,2.0,3.0
1,1,21,9,6,0,6.0,1.0,1.0
0,2,26,9,6,0,7.0,1.0,2.0
0,1,34,9,6,0,5.0,1.0,1.0
1,1,27,9,6,0,6.0,1.0,1.0
1,1,32,9,6,0,7.0,1.0,1.0
1,1,29,9,3,1,7.0,1.0,1.0
0,2,31,9,6,1,3.0,1.0,2.0
0,1,56,9,5,1,5.0,1.0,1.0
0,2,32,9,6,0,6.0,2.0,2.0
0,2,31,9,1,0,6.0,1.0,2.0
1,1,24,9,6,0,7.0,1.0,1.0
0,1,28,9,2,0,5.0,1.0,1.0
1,1,26,9,6,1,4.0,1.0,1.0
1,2,21,5,6,0,5.0,1.0,2.0
0,1,59,9,6,1,3.0,1.0,1.0
1,2,21,9,6,1,5.0,1.0,2.0
1,2,30,9,6,0,6.0,1.0,2.0
1,1,22,9,6,0,7.0,1.0,1.0
0,2,29,9,2,2,7.0,1.0,2.0
1,2,29,9,1,0,7.0,3.0,2.0
0,2,56,9,3,2,3.0,1.0,2.0
0,2,42,9,2,2,7.0,1.0,2.0
1,2,18,9,1,0,5.0,1.0,2.0
0,1,42,9,5,2,5.0,1.0,1.0
1,2,25,9,1,1,6.0,1.0,2.0
1,1,35,9,6,0,4.0,1.0,1.0
0,2,58,9,3,0,5.0,1.0,2.0
0,1,55,9,3,1,8.0,1.0,1.0
0,1,37,9,3,0,7.0,1.0,1.0
1,1,32,9,6,1,6.0,1.0,1.0
1,1,35,9,6,0,8.0,1.0,1.0
1,2,41,9,2,3,6.0,1.0,2.0
0,1,52,9,5,5,5.0,1.0,1.0
0,1,30,9,5,2,5.0,1.0,1.0
0,2,63,9,3,2,5.0,1.0,2.0
0,1,48,9,3,2,5.0,1.0,1.0
0,2,24,9,6,0,7.0,1.0,2.0
0,1,44,1,2,2,5.0,1.0,1.0
1,1,26,9,6,0,7.0,1.0,1.0
0,1,34,9,2,1,6.0,1.0,1.0
0,1,39,9,2,2,5.0,1.0,1.0
0,1,31,9,6,2,3.0,1.0,1.0
1,1,29,9,2,0,5.0,1.0,1.0
0,2,29,9,3,1,6.0,1.0,2.0
1,1,31,9,6,1,6.0,1.0,1.0
0,1,29,9,6,0,7.0,1.0,1.0
1,1,21,9,1,0,6.0,1.0,1.0
0,1,53,9,6,0,5.0,1.0,1.0
1,1,25,9,3,1,7.0,1.0,1.0
1,1,39,9,6,1,5.0,1.0,1.0
1,1,23,1,6,0,7.0,1.0,1.0
1,1,25,9,6,0,6.0,3.0,1.0
0,1,58,9,5,1,5.0,1.0,1.0
1,1,30,9,6,0,7.0,1.0,1.0
0,1,27,9,6,0,5.0,2.0,1.0
0,2,35,9,5,0,7.0,1.0,2.0
0,1,37,9,6,0,5.0,1.0,1.0
0,1,64,9,5,2,3.0,1.0,1.0
1,1,19,9,6,0,5.0,1.0,1.0
0,2,54,9,3,2,7.0,1.0,2.0
0,2,38,9,6,1,8.0,1.0,2.0
1,1,57,9,3,4,4.0,1.0,1.0
1,1,26,9,3,0,7.0,1.0,1.0
0,2,53,9,3,3,6.0,1.0,2.0
0,1,40,9,6,1,5.0,1.0,1.0
1,1,59,9,3,2,4.0,1.0,1.0
0,1,53,9,6,0,8.0,1.0,1.0
1,1,18,9,6,0,5.0,1.0,1.0
0,1,18,9,6,0,5.0,1.0,1.0
0,1,62,9,3,0,5.0,1.0,1.0
0,2,60,9,3,2,5.0,1.0,2.0
1,1,61,9,5,2,3.0,1.0,1.0
1,1,42,9,2,2,6.0,1.0,1.0
0,2,24,9,1,0,5.0,1.0,2.0
0,2,18,9,6,0,4.0,1.0,2.0
0,1,50,9,2,0,5.0,2.0,1.0
1,1,18,9,6,0,5.0,1.0,1.0
0,1,57,9,5,2,5.0,1.0,1.0
0,2,60,9,5,3,7.0,1.0,2.0
1,1,19,9,6,0,5.0,1.0,1.0
1,2,63,9,6,0,3.0,1.0,2.0
0,1,33,9,3,1,7.0,1.0,1.0
1,1,18,9,6,0,5.0,1.0,1.0
0,2,50,9,3,0,8.0,1.0,2.0
0,2,58,9,3,2,5.0,1.0,2.0
1,1,27,9,6,0,8.0,1.0,1.0
0,2,40,9,2,0,5.0,1.0,2.0
0,2,25,5,6,0,6.0,1.0,2.0
1,2,25,9,6,0,7.0,1.0,2.0
0,1,56,9,6,0,5.0,1.0,1.0
0,2,20,9,6,0,7.0,1.0,2.0
0,1,25,1,6,0,7.0,4.0,1.0
0,1,57,9,5,2,5.0,1.0,1.0
1,1,21,9,6,0,7.0,1.0,1.0
1,2,24,9,3,1,6.0,1.0,2.0
1,1,31,9,6,0,7.0,1.0,1.0
0,1,53,9,2,1,5.0,1.0,1.0
1,1,32,9,6,1,7.0,1.0,1.0
0,1,52,9,1,1,6.0,1.0,1.0
0,1,29,9,6,2,5.0,1.0,1.0
0,1,38,9,2,1,6.0,1.0,1.0
1,2,56,9,6,2,5.0,1.0,2.0
1,1,36,9,2,1,8.0,1.0,1.0
1,1,28,9,6,0,5.0,1.0,1.0
0,1,59,9,6,5,5.0,1.0,1.0
1,2,37,9,5,1,3.0,1.0,2.0
0,1,37,9,6,1,4.0,1.0,1.0
0,2,52,9,3,1,3.0,1.0,2.0
0,1,61,9,3,4,6.0,1.0,1.0
1,1,28,9,6,0,5.0,1.0,1.0
0,1,36,9,6,2,4.0,1.0,1.0
1,1,22,9,6,0,5.0,1.0,1.0
0,1,55,9,5,3,5.0,1.0,1.0
0,2,22,9,6,0,7.0,1.0,2.0
0,1,27,9,5,1,5.0,1.0,1.0
0,1,51,9,6,1,3.0,1.0,1.0
0,1,33,9,6,0,8.0,1.0,1.0
1,2,26,9,5,2,5.0,1.0,2.0
1,2,20,9,6,1,4.0,1.0,2.0
1,1,34,9,1,2,3.0,1.0,1.0
1,1,57,5,6,2,4.0,1.0,1.0
1,2,29,9,6,0,7.0,1.0,2.0
1,1,18,9,6,0,5.0,1.0,1.0
0,2,19,9,2,1,4.0,1.0,2.0
0,2,34,9,6,1,7.0,1.0,2.0
0,1,39,9,3,1,8.0,1.0,1.0
1,1,21,9,6,0,5.0,1.0,1.0
1,1,21,9,6,0,5.0,1.0,1.0
0,1,18,9,6,0,6.0,1.0,1.0
0,1,24,9,6,0,8.0,1.0,1.0
0,1,31,9,5,3,7.0,1.0,1.0
